Gene_symbol	Description
ME3	malic enzyme 3, NADP(+)-dependent, mitochondrial
MEA	male-enhanced antigen
MEAX	myopathy with excessive autophagy
MEB	muscle-eye-brain disease
MECP2	methyl CpG binding protein 2 (Rett syndrome)
MEF2A	MADS box transcription enhancer factor 2, polypeptide A (myocyte enhancer factor 2A)
MEF2AP	MADS box transcription enhancer factor 2, polypeptide A pseudogene
MEF2B	MADS box transcription enhancer factor 2, polypeptide B (myocyte enhancer factor 2B)
MEF2C	MADS box transcription enhancer factor 2, polypeptide C (myocyte enhancer factor 2C)
MEF2D	MADS box transcription enhancer factor 2, polypeptide D (myocyte enhancer factor 2D)
MEFV	Mediterranean fever
MEHMO	mental retardation, epileptic seizures, hypogonadism and -genitalism, microcephaly and obesity syndrome
MEIS1	Meis1 (mouse) homolog
MEIS2	Meis (mouse) homolog 2
MEIS3	Meis (mouse) homolog 3
MEL	mel transforming oncogene (derived from cell line NK14)- RAB8 homolog
MELAS	mitochondrial encephalomyopathy, lactic acidosis, and stroke-like episodes
MELL1	mel transforming oncogene-like 1
MEN1	multiple endocrine neoplasia I
MEOX1	mesenchyme homeo box 1
MEOX2	mesenchyme homeo box 2 (growth arrest-specific homeo box)
MEP1A	meprin A, alpha (PABA peptide hydrolase)
MEP1AL1	meprin A, alpha-like 1
MEP1AL2	meprin A, alpha-like 2
MEP1AL3	meprin A, alpha-like 3
MEP1AL4	meprin A, alpha-like 4
MEP1B	meprin A, beta
MEPE	matrix, extracellular phosphoglycoprotein  with ASARM motif (bone)
MER1	antigen identified by monoclonal antibodies W6/34, 5C1, etc. (formerly lethal antigen 1)
MER2	antigen identified by monoclonal antibodies 1D12, 2F7
MER5	antigen identified by monoclonal antibody 2D8
MERR	metalloregulatory DNA-binding protein
MERTK	c-mer proto-oncogene tyrosine kinase
MESDC1	mesoderm development candidate 1
MESDC2	mesoderm development candidate 2
MEST	mesoderm specific transcript (mouse) homolog
MET	met proto-oncogene (hepatocyte growth factor receptor)
METTL1	methyltransferase-like 1
MF4	metacarpal 4-5 fusion
MFAP1	microfibrillar-associated protein 1
MFAP2	microfibrillar-associated protein 2
MFAP3	microfibrillar-associated protein 3
MFAP4	microfibrillar-associated protein 4
MFGE8	milk fat globule-EGF factor 8 protein
MFI2	antigen p97 (melanoma associated) identified by monoclonal antibodies 133.2 and 96.5
MFNG	manic fringe (Drosophila) homolog
MFS2	Marfan syndrome 2
MGAM	maltase-glucoamylase (alpha-glucosidase)
MGAT1	mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase
MGAT2	mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase
MGAT3	mannosyl (beta-1,4-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase
MGAT4A	mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isoenzyme A
MGAT4B	mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isoenzyme B
MGAT5	mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase
MGB1	mammaglobin 1
MGB2	mammaglobin 2
MGC1	megalocornea 1 (X-linked)
MGCR	meningioma chromosome region
MGEA5	meningioma expressed antigen 5 (hyaluronidase)
MGEA6	meningioma expressed antigen 6 (coiled-coil proline-rich)
MGMT	O-6-methylguanine-DNA methyltransferase
MGP	matrix Gla protein
MGST1	microsomal glutathione S-transferase 1
MGST2	microsomal glutathione S-transferase 2
MGST3	microsomal glutathione S-transferase 3
MHAC	microhydranencephaly
MHC2TA	MHC class II transactivator
MHP2	migraine, hemiplegic 2
MHS2	malignant hyperthermia susceptibility 2
MHS4	malignant hyperthermia susceptibility 4
MHS6	malignant hyperthermia susceptibility 6
MIA	melanoma inhibitory activity
MIC10	antigen identified by monoclonal antibody TRA-2-10
MIC12	antigen identified by monoclonal antibody 30.2A8
MIC17	antigen identified by monoclonal antibody BB1
MIC18	antigen identified by monoclonal antibody AUA1
MIC2	antigen identified by monoclonal antibodies 12E7, F21 and O13
MIC2R	MIC2-related
MIC5	antigen identified by monoclonal antibody R1
MIC6	antigen identified by monoclonal antibody H207
MIC7	antigen identified by monoclonal antibody 28.3.7
MIC9	antigen identified by monoclonal antibody 4D12
MICA	MHC class I polypeptide-related sequence A
MICB	MHC class I polypeptide-related sequence B
MICC	MHC class I polypeptide-related sequence C
MICD	MHC class I polypeptide-related sequence D
MICE	MHC class I polypeptide-related sequence E
MID1	midline 1 (Opitz/BBB syndrome)
MID2	midline 2
MIF	macrophage migration inhibitory factor (glycosylation-inhibiting factor)
MIG	monokine induced by gamma interferon
MINPP1	multiple inositol polyphosphate histidine phosphatase,  1
MIP	major intrinsic protein of lens fiber
MIPEP	mitochondrial intermediate peptidase
MITF	microphthalmia-associated transcription factor
MJD	Machado-Joseph disease (spinocerebellar ataxia 3, olivopontocerebellar ataxia 3, autosomal dominant, ataxin 3)
MKI67	antigen identified by monoclonal antibody Ki-67
MKKS	McKusick-Kaufman syndrome
MKLN1	muskelin 1, intracellular mediator containing kelch motifs
MKNK1	MAP kinase-interacting serine/threonine kinase 1
MKNK2	MAP kinase-interacting serine/threonine kinase 2
MKRN1	makorin, ring finger protein, 1
MKRN2	makorin, ring finger protein, 2
MKRN3	makorin, ring finger protein, 3
MKRN4	makorin, ring finger protein, 4
MKRN5	makorin, ring finger protein, 5
MKRNP1	makorin, ring finger protein, pseudogene 1
MKRNP2	makorin, ring finger protein, pseudogene 2
MKRNP3	makorin, ring finger protein, pseudogene 3
MKRNP4	makorin, ring finger protein, pseudogene 4
MKS1	Meckel syndrome, type 1
MKS2	Meckel syndrome, type 2
MLANA	melan-A
MLF1	myeloid leukemia factor 1
MLF2	myeloid leukemia factor 2
MLH1	mutL (E. coli) homolog 1 (colon cancer, nonpolyposis type 2)
MLH3	mutL (E. coli) homolog 3
MLL	myeloid/lymphoid or mixed-lineage leukemia (trithorax (Drosophila) homolog)
MLL2	myeloid/lymphoid or mixed-lineage leukemia 2
MLL3	myeloid/lymphoid or mixed-lineage leukemia3
MLLT1	myeloid/lymphoid or mixed-lineage leukemia (trithorax (Drosophila) homolog); translocated to, 1
MLLT2	myeloid/lymphoid or mixed-lineage leukemia (trithorax (Drosophila) homolog); translocated to, 2
MLLT3	myeloid/lymphoid or mixed-lineage leukemia (trithorax (Drosophila) homolog); translocated to, 3
MLLT4	myeloid/lymphoid or mixed-lineage leukemia (trithorax (Drosophila) homolog); translocated to, 4
MLLT6	myeloid/lymphoid or mixed-lineage leukemia (trithorax (Drosophila) homolog); translocated to, 6
MLLT7	myeloid/lymphoid or mixed-lineage leukemia (trithorax (Drosophila) homolog); translocated to, 7
MLN	motilin
MLP	MARCKS-like protein
MLPL1	MARCKS-like protein-like 1
MLS	microphthalamia with linear skin defects
MLSN1	melastatin 1
MLVI2	Moloney murine leukemia virus (MoMuLV) integration site 2 homolog
MLYCD	malonyl-CoA decarboxylase
MLZE	melanoma-derived leucine zipper, extra-nuclear factor
MMD	monocyte to macrophage differentiation-associated
MME	membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10)
MMP1	matrix metalloproteinase 1 (interstitial collagenase)
MMP10	matrix metalloproteinase 10 (stromelysin 2)
MMP11	matrix metalloproteinase 11 (stromelysin 3)
MMP12	matrix metalloproteinase 12 (macrophage elastase)
MMP13	matrix metalloproteinase 13 (collagenase 3)
MMP14	matrix metalloproteinase 14 (membrane-inserted)
MMP15	matrix metalloproteinase 15 (membrane-inserted)
MMP16	matrix metalloproteinase 16 (membrane-inserted)
MMP17	matrix metalloproteinase 17 (membrane-inserted)
MMP19	matrix metalloproteinase 19
MMP2	matrix metalloproteinase 2 (gelatinase A, 72kD gelatinase, 72kD type IV collagenase)
MMP20	matrix metalloproteinase 20 (enamelysin)
MMP23A	matrix metalloproteinase 23A
MMP23B	matrix metalloproteinase 23B
MMP24	matrix metalloproteinase 24 (membrane-inserted)
MMP3	matrix metalloproteinase 3 (stromelysin 1, progelatinase)
MMP7	matrix metalloproteinase 7 (matrilysin, uterine)
MMP8	matrix metalloproteinase 8 (neutrophil collagenase)
MMP9	matrix metalloproteinase 9 (gelatinase B, 92kD gelatinase, 92kD type IV collagenase)
MMPL1	matrix metalloproteinase-like 1
MMRN	multimerin
MMSDH	methylmalonate-semialdehyde dehydrogenase
MN1	meningioma (disrupted in balanced translocation) 1
MNAT1	menage a trois 1 (CAK assembly factor)
MNDA	myeloid cell nuclear differentiation antigen
MNG1	multinodular goitre 1
MNGIE	myoneurogastrointestinal encephalopathy syndrome
MNT	MAX binding protein
MOBP	myelin-associated oligodendrocyte basic protein
MOCS1	molybdenum cofactor synthesis 1
MOCS1P1	reserved
MOCS1P2	reserved
MOCS2	molybdenum cofactor synthesis 2
MOG	myelin oligodendrocyte glycoprotein
MORC	microrchidia (mouse) homolog
MOS	v-mos Moloney murine sarcoma viral oncogene homolog
MOV10	Mov10 (Moloney leukemia virus 10, mouse) homolog
MOV10L1	Mov10 (mouse)-like 1
MOV34L	Moloney leukemia virus 34 proviral integration homolog-like
MOX2	antigen identified by monoclonal antibody MRC OX-2
MPB1	MYC promoter-binding protein 1
MPD1	myopathy, distal 1
MPDU1	mannose-P-dolichol utilization defect 1
MPDZ	multiple PDZ domain protein
MPE	malignant proliferation, eosinophil
MPFD	myopathy with fiber type disproportion
MPG	N-methylpurine-DNA glycosylase
MPHOSPH1	M-phase phosphoprotein 1
MPHOSPH10	M-phase phosphoprotein 10 (U3 small nucleolar ribonucleoprotein)
MPHOSPH6	M-phase phosphoprotein 6
MPHOSPH9	M-phase phosphoprotein 9
MPI	mannose phosphate isomerase
MPL	myeloproliferative leukemia virus oncogene
MPO	myeloperoxidase
MPP1	membrane protein, palmitoylated 1 (55kD)
MPP2	membrane protein, palmitoylated 2 (MAGUK p55 subfamily member 2)
MPP3	membrane protein, palmitoylated 3 (MAGUK p55 subfamily member 3)
MPP4	membrane protein, palmitoylated 4 (MAGUK p55 subfamily member 4)
MPST	mercaptopyruvate sulfurtransferase
MPV17	MpV17 transgene, murine homolog, glomerulosclerosis
MPZ	myelin protein zero (Charcot-Marie-Tooth neuropathy 1B)
MPZL1	myelin protein zero-like 1
MRAS	muscle RAS oncogene homolog
MRC1	mannose receptor, C type 1
MRE11A	meiotic recombination (S. cerevisiae) 11 homolog A
MRE11B	meiotic recombination (S. cerevisiae) 11 homolog B
MRRF	mitochondrial ribosome recycling factor
MRS2L	reserved
MRSD	mental retardation-skeletal dysplasia
MRVI1	murine retrovirus integration site 1 homolog
MRX1	mental retardation, X-linked 1 (non-dysmorphic)
MRX10	mental retardation, X-linked 10
MRX11	mental retardation, X-linked 11
MRX12	mental retardation, X-linked 12
MRX13	mental retardation, X-linked 13
MRX14	mental retardation, X-linked 14
MRX15	mental retardation, X-linked 15
MRX16	mental retardation, X-linked 16
MRX17	mental retardation, X-linked 17
MRX18	mental retardation, X-linked 18
MRX19	mental retardation, X-linked 19
MRX2	mental retardation, X-linked 2 (non-dysmorphic)
MRX20	mental retardation, X-linked 20
MRX21	mental retardation, X-linked 21
MRX22	mental retardation, X-linked 22
MRX23	mental retardation, X-linked 23
MRX24	mental retardation, X-linked 24
MRX25	mental retardation, X-linked 25
MRX26	mental retardation, X-linked 26
MRX27	mental retardation, X-linked 27
MRX28	mental retardation, X-linked 28
MRX29	mental retardation, X-linked 29
MRX3	mental retardation, X-linked 3
MRX31	mental retardation, X-linked 31
MRX32	mental retardation, X-linked 32
MRX33	mental retardation, X-linked 33
MRX34	mental retardation, X-linked 34
MRX35	mental retardation, X-linked 35
MRX36	mental retardation, X-linked 36
MRX37	mental retardation, X-linked 37
MRX38	mental retardation, X-linked 38
MRX39	mental retardation, X-linked 39
MRX4	mental retardation, X-linked 4
MRX40	mental retardation, X-linked 40
MRX42	mental retardation, X-linked 42
MRX43	mental retardation, X-linked 43
MRX44	mental retardation, X-linked 44
MRX45	mental retardation, X-linked 45
MRX46	mental retardation, X-linked 46
MRX47	mental retardation, X-linked 47
MRX49	mental retardation, X-linked 49
MRX5	mental retardation, X-linked 5
MRX50	mental retardation, X-linked 50
MRX51	mental retardation, X-linked 51
MRX52	mental retardation, X-linked 52
MRX53	mental retardation, X-linked 53
MRX54	mental retardation, X-linked 54
MRX55	mental retardation, X-linked 55
MRX56	mental retardation, X-linked 56
MRX57	mental retardation, X-linked 57
MRX58	mental retardation, X-linked 58
MRX59	mental retardation, X-linked 59
MRX6	mental retardation, X-linked 6 (Okinawa type)
MRX60	mental retardation, X-linked 60
MRX61	mental retardation, X-linked 61
MRX62	mental retardation, X-linked 62
MRX63	mental retardation, X-linked 63
MRX64	mental retardation, X-linked 64
MRX65	mental retardation, X-linked 65
MRX66	mental retardation, X-linked 66
MRX67	mental retardation, X-linked 67
MRX68	mental retardation, X-linked 68
MRX69	mental retardation, X-linked 69
MRX7	mental retardation, X-linked 7
MRX70	mental retardation, X-linked 70
MRX72	mental retardation, X-linked 72
MRX73	mental retardation, X-linked 73
MRX74	mental retardation, X-linked 74
MRX75	mental retardation, X-linked 75
MRX76	mental retardation, X-linked 76
MRX8	mental retardation, X-linked 8
MRX9	mental retardation, X-linked 9
MRXS7	mental retardation, X-linked, syndromic 7
MS	multiple sclerosis
MS4A1	membrane-spanning 4-domains, subfamily A, member 1
MS4A2	membrane-spanning 4-domains, subfamily A, member 2  (Fc fragment of IgE, high affinity I, receptor for; beta polypeptide)
MS4A3	membrane-spanning 4-domains, subfamily A, member 3 (hematopoietic cell-specific)
MSBP1	minisatellite binding protein 1
MSBP2	minisatellite binding protein 2 (77kD)
MSBP3	minisatellite binding protein 3 (115kD)
MSC	musculin (activated B-cell factor-1)
MSD	microcephaly with spastic diplegia (Paine syndrome)
MSF	MLL septin-like fusion (NOTE: non-standard symbol and name)
MSH2	mutS (E. coli) homolog 2 (colon cancer, nonpolyposis type 1)
MSH3	mutS (E. coli) homolog 3
MSH4	mutS (E. coli) homolog 4
MSH5	mutS (E. coli) homolog 5
MSH6	mutS (E. coli) homolog 6
MSI1	Musashi (Drosophila) homolog 1
MSK1	antigen identified by monoclonal antibody AJ9
MSK10	antigen identified by monoclonal antibody AJ425
MSK11	antigen identified by monoclonal antibody SR84
MSK13	antigen identified by monoclonal antibody Q14
MSK14	antigen identified by monoclonal antibody JF23
MSK15	antigen identified by monoclonal antibody SV13
MSK17	antigen identified by monoclonal antibody F23
MSK18	antigen identified by monoclonal antibody J143
MSK19	antigen identified by monoclonal antibody F8 (glycoprotein 95kD)
MSK2	antigen identified by monoclonal antibody T87
MSK20	antigen identified by monoclonal antibody F10 (glycoprotein 50kD)
MSK22	antigen identified by monoclonal antibody A124
MSK23	antigen identified by monoclonal antibody T43
MSK24	antigen identified by monoclonal antibody NP13
MSK25	antigen identified by monoclonal antibody MC139
MSK26	antigen identified by monoclonal antibody K117
MSK27	antigen identified by monoclonal antibody MG6
MSK28	antigen identified by monoclonal antibody MG2
MSK29	antigen identified by monoclonal antibody A42
MSK3	antigen identified by monoclonal antibody M68
MSK30	antigen identified by monoclonal antibody A42
MSK31	antigen identified by monoclonal antibody SR75
MSK32	antigen identified by monoclonal antibody K66
MSK33	antigen identified by monoclonal antibody SR3
MSK34	antigen identified by monoclonal antibody CNT/6
MSK35	antigen identified by monoclonal antibody SR27
MSK36	antigen identified by monoclonal antibody CNT/11
MSK37	antigen identified by monoclonal antibody S7
MSK38	antigen identified by monoclonal antibody O5
MSK39	antigen recognized by monoclonal antibody 5.1H11
MSK4	antigen identified by monoclonal antibody A123/A127
MSK40	antigen identified by monoclonal antibody F35/9
MSK41	antigen identified by monoclonal antibody E3
MSK7	antigen identified by monoclonal antibody VI
MSK8	antigen identified by monoclonal antibody L230
MSK9	antigen identified by monoclonal antibody K15
MSL3L1	male-specific lethal-3 (Drosophila)-like 1
MSLN	mesothelin
MSMB	microseminoprotein, beta-
MSN	moesin
MSNL1	moesin-like 1
MSNL2	moesin-like 2
MSR1	macrophage scavenger receptor 1
MSRA	methionine sulfoxide reductase A
MSS	Marinesco-Sjogren syndrome
MSSE	multiple self-healing squamous epithelioma
MST1	macrophage stimulating 1 (hepatocyte growth factor-like)
MST1R	macrophage stimulating 1 receptor (c-met-related tyrosine kinase)
MSTP1	macrophage stimulating, pseudogene 1
MSTP2	macrophage stimulating, pseudogene 2
MSTP3	macrophage stimulating, pseudogene 3
MSTP4	macrophage stimulating, pseudogene 4
MSTP5	macrophage stimulating, pseudogene 5
MSTP6	macrophage stimulating, pseudogene 6
MSTP7	macrophage stimulating, pseudogene 7
MSTP8	macrophage stimulating, pseudogene 8
MSTP9	macrophage stimulating, pseudogene 9
MSX1	msh (Drosophila) homeo box homolog 1 (formerly homeo box 7)
MSX2	msh (Drosophila) homeo box homolog 2
MT1A	metallothionein 1A (functional)
MT1B	metallothionein 1B (functional)
MT1CP	metallothionein 1C (pseudogene)
MT1DP	metallothionein 1D (pseudogene)
MT1E	metallothionein 1E (functional)
MT1F	metallothionein 1F (functional)
MT1G	metallothionein 1G
MT1H	metallothionein 1H
MT1I	metallothionein 1I
MT1J	metallothionein 1J
MT1K	metallothionein 1K
MT1L	metallothionein 1L
MT1X	metallothionein 1X
MT2A	metallothionein 2A
MT2P1	metallothionein 2 pseudogene 1 (processed)
MT3	metallothionein 3 (growth inhibitory factor (neurotrophic))
MT7SDNA	7S DNA
MTA1	metastasis associated 1
MTA1L1	metastasis-associated 1-like 1
MTACR1	multiple tumor-associated chromosome region 1
MTAP	methylthioadenosine phosphorylase
MTATP6	ATP synthase 6
MTATP8	ATP synthase 8
MTATT	membrane attachment site
MTBP	MDM2 (mouse double minute 2)-binding protein, 104kD
MTCO1	cytochrome c oxidase I
MTCO1P1	cytochrome c oxidase pseudogene 1
MTCO2	cytochrome c oxidase II
MTCO3	cytochrome c oxidase III
MTCP1	mature T-cell proliferation 1
MTCSB1	conserved sequence block I
MTCSB2	conserved sequence block II
MTCSB3	conserved sequence block III
MTCYB	cytochrome b
MTF1	metal-regulatory transcription factor 1
MTHFD1	methylenetetrahydrofolate dehydrogenase (NADP+ dependent), methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase
MTHFD1P1	methylenetetrahydrofolate dehydrogenase (NADP+ dependent), methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase pseudogene 1
MTHFD2	methylene tetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase
MTHFR	5,10-methylenetetrahydrofolate reductase (NADPH)
MTHFS	5,10-methenyltetrahydrofolate synthetase (5-formyltetrahydrofolate cyclo-ligase)
MTHPR	replication primer
MTHSP1	major H-strand promoter
MTHSP2	minor H-strand promoter
MTIF2	mitochondrial translational initiation factor 2
MTL1	metallothionein-like 1
MTL2	metallothionein-like 2
MTL3	metallothionein-like 3
MTL4	metallothionein-like 4
MTL5	metallothionein-like 5, testis-specific (tesmin)
MTLSP	L-strand promoter
MTM1	myotubular myopathy 1
MTMR1	myotubularin related protein 1
MTMR2	myotubularin related protein 2
MTMR3	myotubularin related protein 3
